期货代码,期货名称,公司名称
000862.SZ,银星能源,宁夏银星能源股份有限公司
000869.SZ,张裕A,烟台张裕葡萄酿酒股份有限公司
000875.SZ,吉电股份,吉林电力股份有限公司
000876.SZ,新希望,新希望六和股份有限公司
000877.SZ,天山股份,新疆天山水泥股份有限公司
000878.SZ,云南铜业,云南铜业股份有限公司
000880.SZ,潍柴重机,潍柴重机股份有限公司
000881.SZ,中广核技,中广核核技术发展股份有限公司
000882.SZ,华联股份,北京华联商厦股份有限公司
000883.SZ,湖北能源,湖北能源集团股份有限公司
000885.SZ,城发环境,城发环境股份有限公司
000887.SZ,中鼎股份,安徽中鼎密封件股份有限公司
000888.SZ,峨眉山A,峨眉山旅游股份有限公司
000889.SZ,中嘉博创,中嘉博创信息技术股份有限公司
000892.SZ,欢瑞世纪,欢瑞世纪联合股份有限公司
000893.SZ,东凌国际,亚钾国际投资(广州)股份有限公司
000895.SZ,双汇发展,河南双汇投资发展股份有限公司
000898.SZ,鞍钢股份,鞍钢股份有限公司
000899.SZ,赣能股份,江西赣能股份有限公司
000900.SZ,现代投资,现代投资股份有限公司
000901.SZ,航天科技,航天科技控股集团股份有限公司
000902.SZ,新洋丰,新洋丰农业科技股份有限公司
000903.SZ,云内动力,昆明云内动力股份有限公司
000905.SZ,厦门港务,厦门港务发展股份有限公司
000906.SZ,浙商中拓,浙商中拓集团股份有限公司
000908.SZ,景峰医药,湖南景峰医药股份有限公司
000910.SZ,大亚圣象,大亚圣象家居股份有限公司
000912.SZ,泸天化,四川泸天化股份有限公司
000913.SZ,钱江摩托,浙江钱江摩托股份有限公司
000915.SZ,山大华特,山东山大华特科技股份有限公司
000917.SZ,电广传媒,湖南电广传媒股份有限公司
000919.SZ,金陵药业,金陵药业股份有限公司
000920.SZ,南方汇通,南方汇通股份有限公司
000921.SZ,海信家电,海信家电集团股份有限公司
000922.SZ,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司
000923.SZ,河钢资源,河钢资源股份有限公司
000925.SZ,众合科技,浙江众合科技股份有限公司
000929.SZ,兰州黄河,兰州黄河企业股份有限公司
000930.SZ,中粮科技,中粮生物科技股份有限公司
000931.SZ,中关村,北京中关村科技发展(控股)股份有限公司
000932.SZ,华菱钢铁,湖南华菱钢铁股份有限公司
000933.SZ,神火股份,河南神火煤电股份有限公司
000935.SZ,四川双马,四川双马水泥股份有限公司
000936.SZ,华西股份,江苏华西村股份有限公司
000937.SZ,冀中能源,冀中能源股份有限公司
000938.SZ,紫光股份,紫光股份有限公司
000948.SZ,南天信息,云南南天电子信息产业股份有限公司
000949.SZ,新乡化纤,新乡化纤股份有限公司
000950.SZ,重药控股,重药控股股份有限公司
000951.SZ,中国重汽,中国重汽集团济南卡车股份有限公司
000952.SZ,广济药业,湖北广济药业股份有限公司
000955.SZ,欣龙控股,欣龙控股(集团)股份有限公司
000957.SZ,中通客车,中通客车股份有限公司
000959.SZ,首钢股份,北京首钢股份有限公司
000960.SZ,锡业股份,云南锡业股份有限公司
000962.SZ,东方钽业,宁夏东方钽业股份有限公司
000963.SZ,华东医药,华东医药股份有限公司
000966.SZ,长源电力,国电长源电力股份有限公司
000967.SZ,盈峰环境,盈峰环境科技集团股份有限公司
000968.SZ,蓝焰控股,山西蓝焰控股股份有限公司
000969.SZ,安泰科技,安泰科技股份有限公司
000970.SZ,中科三环,北京中科三环高技术股份有限公司
000973.SZ,佛塑科技,佛山佛塑科技集团股份有限公司
000975.SZ,银泰黄金,银泰黄金股份有限公司
000976.SZ,华铁股份,广东华铁通达高铁装备股份有限公司
000977.SZ,浪潮信息,浪潮电子信息产业股份有限公司
000978.SZ,桂林旅游,桂林旅游股份有限公司
000983.SZ,西山煤电,山西焦煤能源集团股份有限公司
000985.SZ,大庆华科,大庆华科股份有限公司
000988.SZ,华工科技,华工科技产业股份有限公司
000989.SZ,九芝堂,九芝堂股份有限公司
000990.SZ,诚志股份,诚志股份有限公司
000993.SZ,闽东电力,福建闽东电力股份有限公司
000996.SZ,中国中期,中国中期投资股份有限公司
000997.SZ,新大陆,新大陆数字技术股份有限公司
000998.SZ,隆平高科,袁隆平农业高科技股份有限公司
000999.SZ,华润三九,华润三九医药股份有限公司
001696.SZ,宗申动力,重庆宗申动力机械股份有限公司
001872.SZ,招商港口,招商局港口集团股份有限公司
001896.SZ,豫能控股,河南豫能控股股份有限公司
001965.SZ,招商公路,招商局公路网络科技控股股份有限公司
002001.SZ,新和成,浙江新和成股份有限公司
002002.SZ,鸿达兴业,鸿达兴业股份有限公司
002003.SZ,伟星股份,浙江伟星实业发展股份有限公司
002004.SZ,华邦健康,华邦生命健康股份有限公司
002006.SZ,精功科技,浙江精功科技股份有限公司
002007.SZ,华兰生物,华兰生物工程股份有限公司
002008.SZ,大族激光,大族激光科技产业集团股份有限公司
002009.SZ,天奇股份,天奇自动化工程股份有限公司
002010.SZ,传化智联,传化智联股份有限公司
002011.SZ,盾安环境,浙江盾安人工环境股份有限公司
002012.SZ,凯恩股份,浙江凯恩特种材料股份有限公司
002013.SZ,中航机电,中航工业机电系统股份有限公司
002014.SZ,永新股份,黄山永新股份有限公司
